id,V,A,D,stdV,stdA,stdD,N,text,document,category,subcategory
Uprooted_Farming-on-Sand_2570_2655,3.2,3.2,3.2,0.4,0.4,0.4,5,the only way to keep things going here is to keep a steady flow of compost coming in .,Uprooted_Farming-on-Sand,blog, 
117CWL009_41_51,3.2,3.2,3.2,0.4,0.4,0.4,5,dear name :,117CWL009,letters,philanthropic-fundraising
Nathans_Bylichka_34276_34320,3.0,3.0,3.2,0.0,0.0,0.4,5,as we left the bar i asked to see the rock .,Nathans_Bylichka,fiction, 
The_Black_Willow_14834_14885,3.0,3.2,3.2,0.0,0.4,0.4,5,a tree forced you to write this my dear mr . clemm ?,The_Black_Willow,fiction, 
Nathans_Bylichka_44590_44632,3.0,2.8,3.2,0.0,0.4,0.4,5,isis closed her eyes and lifted her hands .,Nathans_Bylichka,fiction, 
hotel-california_28990_29323,3.0,3.0,3.0,0.0,0.63,0.0,5,i heard the captain say something yesterday as i walking to the pyrope parlor . i was just coming up on a corner and he was around the other side talking to a couple people and they must not have known i was there . he said something about a wreck going well . and listen when they came round the corner ray was with the captain .,hotel-california,fiction, 
captured_moments_35083_35108,3.4,4.0,3.8,1.2,0.63,0.4,5,"i shouted "" where is she ?",captured_moments,fiction, 
Bartok_7860_7988,3.0,3.2,2.8,0.0,0.4,0.4,5,as previously mentioned this motion constitutes the initial ascent to what will eventually be a whole tone descent from f to f .,Bartok,essays, 
SemEval_1139,3.2,3.0,3.4,0.4,0.0,0.49,5,bryant ' s boot may have salvaged bucs ' season,SemEval,SemEval,
SemEval_2,4.0,3.4,3.4,0.0,0.49,0.49,5,goal delight for sheva,SemEval,SemEval,
20020731-nyt_40236_40250,3.0,3.0,3.0,0.0,0.0,0.0,5,blind faith .,20020731-nyt,newspaper,nyt
easy_money_1837_1849,2.8,3.0,3.0,0.4,0.0,0.0,5,' m not a cop,easy_money,fiction, 
hotel-california_32627_32660,2.75,2.75,2.75,0.43,0.43,0.43,4,maybe it made us feel less alone .,hotel-california,fiction, 
anth_essay_4_12118_12251,3.0,3.2,3.2,0.0,0.4,0.4,5,language further works to establish identity by encapsulating a worldview markedly removed from that of the dominant western culture .,anth_essay_4,essays, 
SemEval_1359,3.67,3.67,3.0,0.47,0.47,0.0,3,reports : harvard set to name first female president,SemEval,SemEval,
wsj_0171_806_863,2.8,3.2,2.8,0.4,0.4,0.4,5,valley federal is currently being examined by regulators .,wsj_0171,newspaper,wsj
hotel-california_21524_21553,3.0,2.8,3.0,0.0,0.4,0.0,5,what did you do before this ?,hotel-california,fiction, 
hotel-california_16737_16760,2.67,3.0,3.0,0.47,0.0,0.0,3,zheng looked skeptical .,hotel-california,fiction, 
HistoryLasVegas_16193_16236,3.0,2.8,3.4,0.0,0.4,0.49,5,wynns casinos have also set new standards .,HistoryLasVegas,travel-guides, 
NYTnewswire7_4776_4932,3.0,3.0,3.0,0.0,0.0,0.0,5,rod moore executive director of the west coast seafood processors association suggests that activists with an agenda are manipulating chefs and retailers .,NYTnewswire7,newspaper,nyt
warner1_1025_1084,3.6,3.2,3.2,0.49,0.4,0.4,5,with dvt you dont just watch televisionyou experience it .,warner1,letters,solicitation-brochures
Nathans_Bylichka_44157_44260,3.0,3.2,3.4,0.0,0.4,0.49,5,when i had told her all that i could remember she blinked her black lashes and said i remember him .,Nathans_Bylichka,fiction, 
118CWL050_18_33,2.8,3.2,3.2,0.4,0.4,0.4,5,august 10 1999,118CWL050,letters,philanthropic-fundraising
captured_moments_35109_35134,2.6,3.4,3.6,0.8,0.8,0.8,5,tell me or i ' ll kill,captured_moments,fiction, 
How_soon-Fans_1597_1689,3.4,4.0,3.6,0.8,0.0,0.49,5,now let ' s take a look at what the friday ' s fanwoody facebook page looks like today : whoops !,How_soon-Fans,blog, 
SemEval_977,3.0,3.0,3.0,0.0,0.0,0.0,5,officers had ' rapport ' with alleged abductor,SemEval,SemEval,
Ohio_Steel_19152_19222,2.0,3.67,3.0,0.0,0.47,0.0,3,black monday was a devastating blow to an entire generation of people .,Ohio_Steel,essays, 
Nathans_Bylichka_18635_18692,2.8,3.2,3.0,0.4,0.4,0.63,5,only if you stop beginning every sentence with my name .,Nathans_Bylichka,fiction, 
SemEval_898,2.67,3.67,3.0,0.47,0.47,0.0,3,blair : terror battle will be long,SemEval,SemEval,
captured_moments_11037_11044,3.0,2.4,3.0,0.0,0.8,0.0,5,then,captured_moments,fiction, 
Seedbombing_2208_2269,2.0,3.25,3.0,0.0,0.43,0.71,4,i ended up with a broken fingernail and dirt all over my lap .,Seedbombing,blog, 
SemEval_658,2.8,3.2,2.6,0.4,0.4,0.8,5,rig threat cargo ship towed ashore,SemEval,SemEval,
lessig_blog-carbon_521_543,2.33,3.0,4.0,0.47,0.0,0.82,3,i travel way too much .,lessig_blog-carbon,blog, 
114CUL058_2204_2263,3.8,3.6,3.2,0.75,0.8,0.4,5,we appreciate your support of our first event of this type .,114CUL058,letters,philanthropic-fundraising
detroit_5174_5222,2.6,3.2,3.0,0.8,0.4,0.0,5,but right now the nyt ' s story reeks of shinola .,detroit,blog, 
SemEval_1421,2.8,3.0,3.0,0.4,0.0,0.0,5,shoplifters ' choice : police or t shirt of shame,SemEval,SemEval,
112C-L014_1070_1113,2.8,3.6,2.8,0.4,0.49,0.4,5,for some it ' s a matter of weeks or months;,112C-L014,letters,philanthropic-fundraising
captured_moments_36173_36280,2.8,2.8,2.6,0.4,0.4,0.49,5,our boat would disappear into the ocean to be found or not as the wind and tides chose .,captured_moments,fiction, 
hotel-california_6838_7023,3.0,2.67,2.67,0.0,0.47,0.47,3,i spent a lot of time lying on my back on the bed staring up at the little etched swirls in the ceiling or slumped in the old fashioned armchair staring out the windows at the stars .,hotel-california,fiction, 
20020731-nyt_24499_24555,3.6,3.4,3.0,0.49,0.8,0.0,5,"this is an astonishing new record for a coin "" he said .",20020731-nyt,newspaper,nyt
warner1_34_102,3.0,2.8,2.8,0.0,0.4,0.4,5,time warner cable120 east 23rd street new york ny 10010,warner1,letters,solicitation-brochures
cable_spool_fort_2056_2078,3.0,3.0,2.8,0.0,0.0,0.4,5,you wanna play robots ?,cable_spool_fort,fiction, 
cable_spool_fort_7168_7172,3.4,4.0,3.2,0.49,0.63,0.4,5,roy !,cable_spool_fort,fiction, 
Ohio_Steel_962_1201,3.0,3.0,3.0,0.0,0.0,0.0,3,mahoning county was a one industry area and the people of youngstown struthers campbell boardman township and the numerous other small towns and villages in the area only had one main employer : the steel mills .,Ohio_Steel,essays, 
captured_moments_11335_11403,3.0,2.8,2.8,0.0,0.4,0.4,5,the tasha who was is not the tasha in this file .,captured_moments,fiction, 
hotel-california_15779_15796,2.6,3.2,2.8,0.49,0.4,0.4,5,also impossible .,hotel-california,fiction, 
Uprooted_Bike_5054_5168,3.0,3.0,3.0,0.0,0.0,0.0,5,unless you live on a major highway odds are you can ride straight from your front porch to someplace interesting .,Uprooted_Bike,blog, 
detroit_13534_13597,2.2,3.6,3.0,0.75,0.49,0.63,5,as we sink into our own ruins the dark horse rides on america !,detroit,blog, 
Nathans_Bylichka_48977_49106,3.0,2.8,3.0,0.0,0.4,0.0,5,something with too many arms was manning the turntables above the crowd which looked more impenetrable tonight than ever before .,Nathans_Bylichka,fiction, 
hotel-california_20821_20845,3.0,2.33,2.67,0.0,0.47,0.47,3,how long ago was that ?,hotel-california,fiction, 
Nathans_Bylichka_42072_42102,2.2,3.0,2.8,0.4,0.0,0.4,5,i still feel a little woozy .,Nathans_Bylichka,fiction, 
Ant_Robot_43252_43404,3.0,3.0,3.2,0.0,0.0,0.4,5,trail patrollers will go much further until food sources are found and will then orient towards the nest and create trails for the foragers to follow .,Ant_Robot,essays, 
Ant_Robot_19460_19639,3.0,3.2,3.0,0.0,0.4,0.0,5,antie will have a hybrid software architecture : a subsumption hierarchy will be responsible for switching between behaviors but many sub behaviors will operate on a schema basis .,Ant_Robot,essays, 
110CYL069_971_1145,3.2,3.4,3.2,0.4,0.49,0.4,5,while i appreciate u . s . news & world report ' s endorsement the true value of your support is measured by the way goodwill takes on problems that affect all of us .,110CYL069,letters,philanthropic-fundraising
Fermentation_Eminent-Domain_14165_14315,2.6,3.0,3.6,0.49,0.63,0.49,5,that ' s my take anyway i don ' t aim to be contrarian but i don ' t mind being the sole supporter of the law as a sonoma county born and bred wine guy .,Fermentation_Eminent-Domain,blog, 
Homosexuality_435_486,3.2,3.0,2.8,0.4,0.0,0.4,5,perhaps then it is a combination of some of these ?,Homosexuality,essays, 
Fermentation_HR5034_2800_2812,3.2,3.2,3.2,0.4,0.75,0.4,5,learn more,Fermentation_HR5034,blog, 
hotel-california_23844_23896,2.5,2.67,3.0,0.5,0.47,0.0,6,again there was an uncomfortable moment of silence .,hotel-california,fiction, 
easy_money_7432_7470,3.0,3.0,3.0,0.0,0.0,0.0,5,it looked like a bamboo walking stick .,easy_money,fiction, 
110CYL071_2578_2582,3.0,3.0,3.0,0.0,0.0,0.0,5,p . s .,110CYL071,letters,philanthropic-fundraising
SemEval_226,3.0,3.0,3.0,0.0,0.63,0.63,5,yankee pitcher ' s pilot log found,SemEval,SemEval,
Bartok_26079_26300,3.0,2.2,3.4,0.0,0.98,0.49,5,by applying our tonal system to music that slips outside of the tonal realm we not only find the elements of tonality that do remain but we also pinpoint exactly when and how this music breaks from previous conventions .,Bartok,essays, 
blog-monastery_4136_4225,3.2,3.2,3.2,0.4,0.4,0.4,5,in the afternoon a group of us gathered outside for a meditation session with ani kunga .,blog-monastery,blog, 
NYTnewswire9_521_602,3.0,3.2,3.0,0.0,0.4,0.0,5,on his metal desk were names of military men being ordered into the organization .,NYTnewswire9,newspaper,nyt
Ohio_Steel_5027_5130,2.25,3.0,2.5,0.43,0.71,0.5,4,this prohibited strikes and lockout angering workers and driving productivity and laborer morale down .,Ohio_Steel,essays, 
SemEval_55,3.33,3.0,3.17,0.47,1.0,0.37,6,making peace from victory over poverty,SemEval,SemEval,
How_soon-Lebron-James_1884_1947,2.75,3.0,3.0,0.43,0.0,0.0,4,2 . not winning a title will be seen as a massive disappointment,How_soon-Lebron-James,blog, 
Nathans_Bylichka_41005_41042,3.67,3.5,3.0,0.47,0.76,0.0,6,its been years since ive seen you .,Nathans_Bylichka,fiction, 
captured_moments_26306_26314,2.8,2.8,3.2,0.4,0.4,0.4,5,hardly .,captured_moments,fiction, 
Nathans_Bylichka_8400_8438,2.8,3.0,3.0,0.4,0.0,0.0,5,this wasnt the best of neighborhoods .,Nathans_Bylichka,fiction, 
WhereToHongKong_61617_61685,3.0,2.8,2.8,0.0,0.4,0.4,5,inside is a collection of ceramics carvings and furniture .,WhereToHongKong,travel-guides, 
captured_moments_5825_5836,3.2,3.4,3.0,0.4,0.49,0.0,5,you will ?,captured_moments,fiction, 
hotel-california_29885_29900,3.0,3.0,3.0,0.0,0.0,0.0,5,asked adrienne .,hotel-california,fiction, 
Nathans_Bylichka_35842_35905,3.0,3.5,3.0,0.0,0.5,0.0,2,then i opened my eyes again and saw a girl lying in the street .,Nathans_Bylichka,fiction, 
A_defense_of_Michael_Moore_560_577,3.0,2.8,3.0,0.0,0.4,0.0,5,dear david hardy,A_defense_of_Michael_Moore,essays, 
hotel-california_32078_32104,3.0,2.8,3.0,0.0,0.4,0.0,5,he had made us a constant .,hotel-california,fiction, 
Black_and_white_8827_8859,3.0,2.67,3.0,0.0,0.47,0.0,3,white is the setting for color .,Black_and_white,essays, 
Tupelo-Honey-Cafe_905_956,3.2,2.6,2.6,0.4,0.49,0.49,5,the result is a unique riff on southern favorites .,Tupelo-Honey-Cafe,blog, 
NYTnewswire2_6797_6974,3.0,2.67,2.67,0.0,0.47,0.47,3,"the second mobster said the french pair had "" only three judges "" and of the two judges they needed to win the gold medal "" one is ours and the other our friends will give them .",NYTnewswire2,newspaper,nyt
20000419_apw_eng-NEW_9_45,3.0,3.0,3.0,0.0,0.0,0.0,3,lawmaker appeals for innocent iraqis,20000419_apw_eng-NEW,newspaper,nyt
Black_and_white_20277_20326,3.0,3.0,2.4,0.63,0.63,0.49,5,thus is the ebb and flow of life .,Black_and_white,essays, 
A_defense_of_Michael_Moore_11595_11773,2.67,3.67,2.67,0.47,0.47,0.47,3,heston maganimously holds up a hand to read the mayor ' s letter ( only to explain in detail why he chose to ignore the request not mentioning at all the reasons you have given ! ),A_defense_of_Michael_Moore,essays, 
Black_and_white_11637_12033,3.2,3.2,3.2,0.4,0.4,0.4,5,white clothing proved that someone was of a level of society in which they were not forced to work for the clothing would immediately become soiled if not and thus the reason why women who were the ones to stay at home dressed in all white while men who were the ones to go out and work wore black for black did in fact hide stains .,Black_and_white,essays, 
Bartok_17307_17446,3.0,3.0,3.0,0.0,0.0,0.0,3,although wilson claims that this theme is based on a transformation in rhythm and contour of the second head motive of [the first theme],Bartok,essays, 
vampires_2482_2500,4.0,3.6,3.6,0.63,1.02,0.8,5,ahh the classics .,vampires,blog, 
hotel-california_13750_13796,3.0,3.0,3.2,0.0,0.0,0.4,5,now and then a new face mingled in the crowd .,hotel-california,fiction, 
116CUL033_1918_1928,3.0,3.0,3.0,0.0,0.0,0.0,4,sincerely,116CUL033,letters,philanthropic-fundraising
114CUL057_613_726,3.33,3.0,3.33,0.47,0.82,0.47,3,the grill will feature enough activities that you and your kids will have a tough time deciding what to do .,114CUL057,letters,philanthropic-fundraising
SemEval_517,3.2,3.2,3.2,0.4,0.4,0.4,5,after iraq trip clinton proposes war limits,SemEval,SemEval,
SemEval_949,2.6,3.0,2.6,0.49,0.63,0.49,5,china detains 2 after body parts found in mail,SemEval,SemEval,
captured_moments_32963_33044,2.5,3.5,3.5,0.5,0.5,0.5,2,i only wanted to despise the man who had slept with my lover .,captured_moments,fiction, 
detroit_2786_2871,2.6,3.0,3.0,0.8,0.0,0.0,5,it was about driving down streets where we truly did not belong and were not welcome .,detroit,blog, 
WhatToHongKong_22246_22317,3.0,2.8,2.8,0.0,0.4,0.4,5,there are 13 public courts at victoria park tennis centre ( tel .,WhatToHongKong,travel-guides, 
Nathans_Bylichka_42176_42333,3.33,3.67,3.0,0.47,0.47,0.0,3,the wines rich scent had a touch of something chemical that i recognized from the bar but it filled my mouth and sank into my veins with reassuring warmth .,Nathans_Bylichka,fiction, 
Anti-Terrorist_4553_4620,2.2,3.2,3.0,0.4,0.4,0.0,5,"example 2 : "" terrorist murderers insult allah bring shame to islam",Anti-Terrorist,blog, 
A_defense_of_Michael_Moore_12870_13031,3.0,3.0,3.0,0.0,0.0,0.0,5,"concerning the georgetown hoya interview where heston was asked about rolland you write : "" there is no indication that [heston] recognized kayla rolland ' s case .",A_defense_of_Michael_Moore,essays, 
Tupelo-Honey-Cafe_714_774,3.8,3.4,3.2,0.75,0.8,0.4,5,our food is fresh made from scratch sassy and scrumptious .,Tupelo-Honey-Cafe,blog, 
blog-monastery_2883_2951,3.0,3.0,3.0,0.0,0.0,0.0,5,"psychologists "" she said "" study the brain and the self externally .",blog-monastery,blog, 
SemEval_957,3.0,3.0,3.0,0.0,0.0,0.0,5,philippine anti terror law delayed until june,SemEval,SemEval,
Tupelo-Honey-Cafe_1484_1504,3.2,2.8,3.0,0.4,0.4,0.63,5,yes i could dig it .,Tupelo-Honey-Cafe,blog, 
hotel-california_34058_34064,2.2,3.0,2.4,0.75,0.0,0.49,5,alone .,hotel-california,fiction, 
Ohio_Steel_9954_9990,3.0,3.0,3.0,0.0,0.0,0.0,5,foreign steel was also much cheaper .,Ohio_Steel,essays, 
A_defense_of_Michael_Moore_25161_25365,2.4,3.6,3.2,0.8,0.49,0.4,5,"once again you fail to distinguish between regular film editing and "" faking "" ( a word which "" canadian officials "" have never used; for such a distortion moore would have been boiled alive by his critics ) .",A_defense_of_Michael_Moore,essays, 
aspca1_2973_2997,3.0,3.2,3.2,0.63,0.4,0.4,5,and we dont stop there .,aspca1,letters,solicitation-brochures
hotel-california_25879_25914,3.0,3.0,3.2,0.0,0.0,0.4,5,could you live anywhere else now ?,hotel-california,fiction, 
WhereToHongKong_58908_59072,3.2,3.2,3.0,0.4,0.4,0.0,5,the train station is in the newer business district; nearby is asias third tallest building at 83 stories which will often be pointed out to you .,WhereToHongKong,travel-guides, 
Nathans_Bylichka_9922_9995,2.8,3.8,3.2,0.4,0.4,0.75,5,i am here now because you called for help and no one else would answer .,Nathans_Bylichka,fiction, 
112C-L012_1625_1768,3.0,2.67,2.67,0.0,0.47,0.47,3,please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future .,112C-L012,letters,philanthropic-fundraising
Nathans_Bylichka_28715_28746,2.83,2.83,3.0,0.37,0.9,0.58,6,i have his health to consider .,Nathans_Bylichka,fiction, 
A_defense_of_Michael_Moore_22679_22760,3.0,2.8,3.0,0.0,0.4,0.0,5,never mind that this is all documented on michael moore ' s website about the film .,A_defense_of_Michael_Moore,essays, 
SemEval_689,2.25,3.25,2.75,0.83,0.43,0.43,4,terror network,SemEval,SemEval,
Italy_4944_5001,3.0,3.0,3.0,0.0,0.0,0.0,5,posted by : happyfeet | wednesday 26 may 2010 at 09 : 57 pm,Italy,blog, 
Tupelo-Honey-Cafe_1330_1450,3.17,3.0,3.0,0.37,1.15,0.0,6,grilled marinated free range chicken breast on sourdough with melted havarti romaine lettuce and cranberry mayonnaise,Tupelo-Honey-Cafe,blog, 
Homosexuality_2448_2454,3.0,2.8,3.0,0.0,0.4,0.0,5,same,Homosexuality,essays, 
How_soon-Fans_2082_2164,3.0,3.0,3.0,0.0,0.63,0.0,5,it ' s easy to pick on tgi friday ' s but they certainly aren ' t the only guilty party .,How_soon-Fans,blog, 
NYTnewswire1_2251_2343,3.2,2.4,3.4,0.4,0.8,0.49,5,ochoa ' s new teammates were generally pleased with the move even if it wasn ' t a blockbuster .,NYTnewswire1,newspaper,nyt
Nathans_Bylichka_19846_19924,2.8,3.2,2.8,0.4,0.75,0.4,5,the blood flashed into flames as soon as it hit the ground and i jumped back .,Nathans_Bylichka,fiction, 
SemEval_813,2.6,3.4,3.0,0.8,0.49,0.0,5,iran to hit us interests if attacked,SemEval,SemEval,
The_Black_Willow_5250_5290,2.4,3.2,3.2,0.49,0.4,0.4,5,perfectly dreadful my dear mr . mason,The_Black_Willow,fiction, 
appalachian1_4780_4955,3.0,2.8,2.8,0.0,0.4,0.4,5,take a four mile canoe trip to northern new hampshires only bald eagle nesting site in the lake umbagog national wildlife refuge that we helped form .,appalachian1,letters,solicitation-brochures
20020731-nyt_5819_5993,2.75,3.0,3.0,0.43,0.0,0.0,4,the committee ' s letter did not mention chang ' s reported gifts to torricelli of an $8100 rolex watch about a dozen italian made suits and a $3816 antique grandfather clock .,20020731-nyt,newspaper,nyt
appalachian1_2055_2210,3.2,3.2,3.2,0.4,0.4,0.4,5,were partnering with agencies and other organizations to introduce inner city youth to the fun of the outdoors in boston philadelphia and new york city .,appalachian1,letters,solicitation-brochures
hsus4_6321_6361,3.0,2.8,3.2,0.0,0.4,0.4,5,registration does not imply endorsement .,hsus4,letters,solicitation-brochures
wsj_0144_904_1008,2.6,3.0,3.2,0.49,0.89,0.75,5,in the first nine months net was $306 million compared with a loss of $195 million in the 1988 period .,wsj_0144,newspaper,wsj
captured_moments_23282_23288,3.8,3.4,3.0,0.75,0.49,0.0,5,yes .,captured_moments,fiction, 
hotel-california_16853_16870,3.0,3.2,3.6,0.0,0.4,0.49,5,think about it,hotel-california,fiction, 
110CYL069_3409_3451,3.4,3.2,3.4,0.49,0.4,0.49,5,your support helps provide real solutions .,110CYL069,letters,philanthropic-fundraising
captured_moments_18627_18704,2.6,3.0,3.0,0.49,0.0,0.0,5,the child ' s face was a warground for wonder and mistrust .,captured_moments,fiction, 
detroit_13349_13361,2.2,4.2,3.8,0.75,0.4,0.4,5,i think not !,detroit,blog, 
wsj_1640_2151_2462,2.8,2.6,3.2,0.4,0.8,0.4,5,one expert whose job is so politically sensitive that he spoke on condition that he wouldn ' t be named or quoted said the expected influx of east european refugees over the next few years will greatly increase the chances of computer maintenance workers for example doubling as foreign spies .,wsj_1640,newspaper,wsj
WhatToHongKong_15778_15792,2.8,3.0,3.2,0.4,0.63,0.4,5,chinese opera .,WhatToHongKong,travel-guides, 
WhereToHongKong_39875_39965,3.0,2.75,3.25,0.0,0.43,0.43,4,the dutch sent an invasion flotilla to macau in 1622 but the defenders triumphed .,WhereToHongKong,travel-guides, 
IntroDublin_6943_6966,2.8,2.6,3.2,0.4,0.49,0.4,5,dublin is a young city .,IntroDublin,travel-guides, 
